0   , 15 , 0   , 29 , 0   , 1  , 0   , 5  , 0   , 19 , 0   , 11
10  , 25 , 4   , 99 , 24  , 26 , 10  , 35 , 4   , 89 , 24  , 36
20  , 15 , 68  , 7  , 58  , 10 , 20  , 5  , 68  , 7  , 58  , 20
40  , 25 , 115 , 14 , 105 , 73 , 40  , 35 , 115 , 4  , 105 , 83
50  , 15 , 157 , 43 , 173 , 25 , 50  , 5  , 157 , 33 , 173 , 35
80  , 25 , 200 , 98 , 202 , 7  , 80  , 35 , 200 , 88 , 202 , 17
120 , 15 , 262 , 23 , 250 , 28 , 120 , 5  , 262 , 13 , 250 , 38
150 , 25 , 309 , 11 , 311 , 6  , 150 , 35 , 309 , 1  , 311 , 16
200 , 15 , 371 , 9  , 372 , 94 , 200 , 5  , 371 , 9  , 372 , 64
220 , 25 , 416 , 62 , 426 , 81 , 220 , 35 , 416 , 52 , 426 , 91
250 , 15 , 452 , 41 , 471 , 24 , 250 , 5  , 452 , 31 , 471 , 34
270 , 25 , 527 , 58 , 510 , 91 , 270 , 35 , 527 , 48 , 510 , 61
400 , 15 , 553 , 68 , 566 , 87 , 400 , 5  , 553 , 58 , 566 , 97
500 , 25 , 602 , 48 , 600 , 73 , 500 , 35 , 602 , 38 , 600 , 83
600 , 15 , 663 , 78 , 653 , 79 , 600 , 5  , 663 , 68 , 653 , 89
700 , 25 , 718 , 67 , 701 , 58 , 700 , 35 , 718 , 57 , 701 , 28
